Manufacturer,Model Name,Category,Screen Size,Screen,CPU,RAM, Storage,GPU,image
Lenovo,IdeaPad 100S-14IBR,Notebook,"14.0""",1366x768,Intel Celeron Dual Core N3060 1.6GHz,4GB,32GB Flash Storage,Intel HD Graphics,https://via.placeholder.com/200
Acer,Swift 3,Ultrabook,"14.0""",IPS Panel Full HD 1920x1080,Intel Core i5 7200U 2.5GHz,8GB,256GB SSD,Intel Graphics 620,https://via.placeholder.com/200
Razer,Blade Pro,Gaming,"14.0""",Full HD 1920x1080,Intel Core i7 7700HQ 2.8GHz,16GB,256GB SSD,Nvidia GeForce GTX 1060,https://via.placeholder.com/200
Toshiba,Portege Z30-C-16J,Notebook,"13.3""",Full HD 1920x1080,Intel Core i5 6200U 2.3GHz,8GB,256GB SSD,Intel HD Graphics 520,https://via.placeholder.com/200
Lenovo,Thinkpad X270,Ultrabook,"12.5""",IPS Panel Full HD 1920x1080,Intel Core i7 7500U 2.7GHz,8GB,256GB SSD,Intel HD Graphics 620,https://via.placeholder.com/200
Asus,ROG G701VI,Gaming,"17.3""",IPS Panel Full HD 1920x1080,Intel Core i7 6820HK 2.7GHz,32GB,512GB SSD,Nvidia GeForce GTX 1080,https://via.placeholder.com/200
Acer,A715-71G-59DH (i5-7300HQ/8GB/1TB/GeForce,Gaming,"15.6""",Full HD 1920x1080,Intel Core i5 7300HQ 2.5GHz,8GB,1TB HDD,Nvidia GeForce GTX 1050,https://via.placeholder.com/200
Dell,XPS 13,Ultrabook,"13.3""",Full HD 1920x1080,Intel Core i5 8250U 1.6GHz,8GB,256GB SSD,Intel UHD Graphics 620,https://via.placeholder.com/200
MSI,GL62M 7REX,Gaming,"15.6""",Full HD 1920x1080,Intel Core i7 7700HQ 2.8GHz,8GB,128GB SSD +  1TB HDD,Nvidia GeForce GTX 1050 Ti,https://via.placeholder.com/200
HP,250 G6,Notebook,"15.6""",1366x768,Intel Core i3 6006U 2GHz,4GB,500GB HDD,Intel HD Graphics 520,https://via.placeholder.com/200
Toshiba,Tecra A50-D-11M,Notebook,"15.6""",IPS Panel Full HD 1920x1080,Intel Core i5 7200U 2.5GHz,8GB,500GB HDD,Intel HD Graphics 620,https://via.placeholder.com/200
Dell,Inspiron 5570,Notebook,"15.6""",Full HD 1920x1080,Intel Core i7 8550U 1.8GHz,8GB,256GB SSD,AMD Radeon 530,https://via.placeholder.com/200
Dell,Inspiron 5570,Notebook,"15.6""",Full HD 1920x1080,Intel Core i7 8550U 1.8GHz,16GB,256GB SSD +  2TB HDD,AMD Radeon 530,https://via.placeholder.com/200
Lenovo,IdeaPad Y700-15ISK,Gaming,"15.6""",IPS Panel Full HD 1920x1080,Intel Core i7 6700HQ 2.6GHz,8GB,128GB SSD +  1TB HDD,Nvidia GeForce GTX 960,https://via.placeholder.com/200
Dell,Alienware 17,Gaming,"17.3""",IPS Panel 4K Ultra HD 3840x2160,Intel Core i7 7700HQ 2.8GHz,32GB,512GB SSD +  1TB HDD,Nvidia GeForce GTX 1070,https://via.placeholder.com/200
Dell,Latitude E7470,Notebook,"14.0""",Full HD 1920x1080,Intel Core i5 6300U 2.4GHz,8GB,256GB SSD,Intel HD Graphics 520,https://via.placeholder.com/200
Lenovo,Ideapad 320-15IAP,Notebook,"15.6""",1366x768,Intel Celeron Dual Core N3350 1.1GHz,4GB,500GB HDD,Intel HD Graphics 500,https://via.placeholder.com/200
Lenovo,IdeaPad 320-15ISK,Notebook,"15.6""",Full HD 1920x1080,Intel Core i5 6200U 2.3GHz,4GB,500GB HDD,Intel HD Graphics 520,https://via.placeholder.com/200
HP,15-ay047nv (i3-6006U/6GB/1TB/Radeon,Notebook,"15.6""",1920x1080,Intel Core i3 6006U 2GHz,6GB,1TB HDD,AMD Radeon R5 M430,https://via.placeholder.com/200
MSI,GP72VR Leopard,Gaming,"17.3""",Full HD 1920x1080,Intel Core i7 7700HQ 2.8GHz,8GB,128GB SSD +  1TB HDD,Nvidia GeForce GTX 1060,https://via.placeholder.com/200
Toshiba,Satellite Pro,Notebook,"15.6""",1366x768,Intel Core i3 6100U 2.1GHz,4GB,128GB SSD,Intel HD Graphics 520,https://via.placeholder.com/200
Dell,Latitude 3580,Notebook,"15.6""",Full HD 1920x1080,Intel Core i5 7200U 2.5GHz,8GB,1TB HDD,Intel HD Graphics 620,https://via.placeholder.com/200
HP,15-bs012nv (i7-7500U/8GB/1TB/Radeon,Notebook,"15.6""",Full HD 1920x1080,Intel Core i7 7500U 2.7GHz,8GB,1TB HDD,AMD Radeon 530,https://via.placeholder.com/200
Toshiba,Tecra Z50-D-10E,Notebook,"15.6""",IPS Panel Full HD 1920x1080,Intel Core i5 7200U 2.5GHz,8GB,256GB SSD,Intel HD Graphics 620,https://via.placeholder.com/200
Acer,Aspire 3,Notebook,"15.6""",1366x768,Intel Core i3 6006U 2GHz,4GB,128GB SSD,Intel HD Graphics 520,https://via.placeholder.com/200
Microsoft,Surface Laptop,Ultrabook,"13.5""",Touchscreen 2256x1504,Intel Core i7 7600U 2.8GHz,8GB,256GB SSD,Intel Iris Plus Graphics 640,https://via.placeholder.com/200
Lenovo,V310-15ISK (i5-7200U/8GB/1TB,Notebook,"15.6""",Full HD 1920x1080,Intel Core i5 7200U 2.5GHz,8GB,128GB SSD +  1TB HDD,AMD Radeon R5 M430,https://via.placeholder.com/200
Lenovo,Yoga 720-13IKB,2 in 1 Convertible,"13.3""",IPS Panel Full HD / Touchscreen 1920x1080,Intel Core i5 7200U 2.5GHz,8GB,256GB SSD,Intel HD Graphics 620,https://via.placeholder.com/200
Lenovo,IdeaPad 320-15AST,Notebook,"15.6""",1366x768,AMD E-Series E2-9000 2.2GHz,4GB,128GB SSD,AMD Radeon R2 Graphics,https://via.placeholder.com/200
HP,Pavilion X360,2 in 1 Convertible,"14.0""",IPS Panel Full HD / Touchscreen 1920x1080,Intel Core i3 7100U 2.4GHz,4GB,128GB SSD,Nvidia GeForce 940MX,https://via.placeholder.com/200
MSI,GP62 7RDX,Gaming,"15.6""",Full HD 1920x1080,Intel Core i7 7700HQ 2.8GHz,16GB,256GB SSD +  1TB HDD,Nvidia GeForce GTX 1050,https://via.placeholder.com/200
Asus,Zenbook 3,Ultrabook,"14.0""",Full HD 1920x1080,Intel Core i5 7200U 2.5GHz,8GB,256GB SSD,Intel HD Graphics 620,https://via.placeholder.com/200
HP,Chromebook X360,2 in 1 Convertible,"11.6""",Touchscreen 1366x768,Intel Celeron Dual Core N3350 1.1GHz,8GB,64GB Flash Storage,Intel HD Graphics 500,https://via.placeholder.com/200
LG,Gram 15Z975,Ultrabook,"15.6""",IPS Panel Full HD 1920x1080,Intel Core i7 8550U 1.8GHz,8GB,512GB SSD,Intel HD Graphics 620,https://via.placeholder.com/200
Acer,Aspire VX5-591G,Gaming,"15.6""",Full HD 1920x1080,Intel Core i5 7300HQ 2.5GHz,16GB,256GB SSD,Nvidia GeForce GTX 1050 Ti,https://via.placeholder.com/200
MSI,GV62M 7RD,Gaming,"15.6""",Full HD 1920x1080,Intel Core i5 7300HQ 2.5GHz,8GB,256GB SSD,Nvidia GeForce GTX 1050,https://via.placeholder.com/200
Asus,L502NA-GO052T (N3350/4GB/128GB/W10),Notebook,"15.6""",1366x768,Intel Celeron Dual Core N3350 1.1GHz,4GB,128GB SSD,Intel HD Graphics 500,https://via.placeholder.com/200
Dell,Alienware 15,Gaming,"15.6""",Full HD 1920x1080,Intel Core i5 7300HQ 2.5GHz,16GB,128GB SSD +  1TB HDD,Nvidia GeForce GTX 1060,https://via.placeholder.com/200
HP,17-bs000nv I3,Notebook,"17.3""",IPS Panel Full HD 1920x1080,Intel Core i3 6006U 2GHz,4GB,256GB SSD,AMD Radeon R5 520,https://via.placeholder.com/200
Lenovo,Yoga 730,2 in 1 Convertible,"13.3""",IPS Panel Full HD / Touchscreen 1920x1080,Intel Core i7 8550U 1.8GHz,8GB,512GB SSD,Intel UHD Graphics 620,https://via.placeholder.com/200
Dell,Alienware 15,Gaming,"15.6""",Full HD 1920x1080,Intel Core i7 7820HK 2.9GHz,16GB,256GB SSD +  1TB HDD,Nvidia GeForce GTX 1070,https://via.placeholder.com/200
HP,250 G6,Notebook,"15.6""",1366x768,Intel Core i5 7200U 2.5GHz,4GB,500GB HDD,AMD Radeon 520,https://via.placeholder.com/200
Dell,Inspiron 3567,Notebook,"15.6""",1366x768,Intel Core i3 6006U 2GHz,4GB,1TB HDD,AMD Radeon R5 M430,https://via.placeholder.com/200
HP,17-Y002nv (A10-9600P/6GB/2TB/Radeon,Notebook,"17.3""",IPS Panel Full HD 1920x1080,AMD A10-Series 9600P 2.4GHz,6GB,2TB HDD,AMD Radeon R7 M440,https://via.placeholder.com/200
Lenovo,V110-15ISK (3855U/4GB/500GB/W10),Notebook,"15.6""",1366x768,Intel Celeron Dual Core 3855U 1.6GHz,4GB,500GB HDD,Intel HD Graphics 510,https://via.placeholder.com/200
Acer,Chromebook 14,Notebook,"14.0""",1366x768,Intel Celeron Dual Core 3855U 1.6GHz,4GB,32GB Flash Storage,Intel HD Graphics 510,https://via.placeholder.com/200
Lenovo,IdeaPad 520s-14IKB,Notebook,"14.0""",Full HD 1920x1080,Intel Core i5 7200U 2.5GHz,4GB,256GB SSD,Intel HD Graphics 620,https://via.placeholder.com/200
HP,ZBook 17,Workstation,"17.3""",Full HD 1920x1080,Intel Core i7 7700HQ 2.8GHz,8GB,500GB HDD,Nvidia Quadro M1200,https://via.placeholder.com/200
Lenovo,ThinkPad X1,2 in 1 Convertible,"14.0""",Touchscreen 2560x1440,Intel Core i7 7500U 2.7GHz,8GB,256GB SSD,Intel HD Graphics 620,https://via.placeholder.com/200
Toshiba,Satellite Pro,Notebook,"13.3""",IPS Panel Full HD 1920x1080,Intel Core i5 7200U 2.5GHz,8GB,256GB SSD,Intel HD Graphics 620,https://via.placeholder.com/200
Acer,TravelMate B117-M,Netbook,"11.6""",1366x768,Intel Celeron Dual Core N3050 1.6GHz,4GB,32GB Flash Storage,Intel HD Graphics,https://via.placeholder.com/200
Lenovo,Yoga 910-13IKB,2 in 1 Convertible,"14.0""",Full HD / Touchscreen 1920x1080,Intel Core i7 7500U 2.7GHz,16GB,512GB SSD,Intel HD Graphics 620,https://via.placeholder.com/200
Asus,Chromebook Flip,2 in 1 Convertible,"12.5""",Full HD / Touchscreen 1920x1080,Intel Core M M3-6Y30 0.9GHz,4GB,64GB Flash Storage,Intel HD Graphics 515,https://via.placeholder.com/200
Toshiba,Portege Z30T-C-133,Ultrabook,"13.3""",Full HD / Touchscreen 1920x1080,Intel Core i7 6500U 2.5GHz,16GB,512GB SSD,Intel HD Graphics 520,https://via.placeholder.com/200
HP,15-bs011nv (i7-7500U/4GB/500GB/Radeon,Notebook,"15.6""",IPS Panel Full HD 1920x1080,Intel Core i7 7500U 2.7GHz,4GB,500GB HDD,AMD Radeon 530,https://via.placeholder.com/200
Dell,Inspiron 5577,Gaming,"15.6""",Full HD 1920x1080,Intel Core i5 7300HQ 2.5GHz,8GB,1TB HDD,Nvidia GeForce GTX 1050,https://via.placeholder.com/200
Lenovo,IdeaPad 320-15AST,Notebook,"15.6""",Full HD 1920x1080,AMD A9-Series 9420 2.9GHz,4GB,256GB SSD,AMD Radeon 530,https://via.placeholder.com/200
Lenovo,IdeaPad 320-15ABR,Notebook,"15.6""",1366x768,AMD A12-Series 9720P 3.6GHz,8GB,1TB HDD,AMD Radeon R7,https://via.placeholder.com/200
Lenovo,V310-15IKB (i5-7200U/4GB/1TB/FHD/W10),Notebook,"15.6""",Full HD 1920x1080,Intel Core i5 7200U 2.5GHz,4GB,1TB HDD +  1TB HDD,Intel HD Graphics 620,https://via.placeholder.com/200
Lenovo,V310-15ISK (i3-6006U/4GB/500GB/No,Notebook,"15.6""",1366x768,Intel Core i3 6006U 2GHz,4GB,500GB HDD,Intel HD Graphics 520,https://via.placeholder.com/200
Dell,Vostro 5568,Notebook,"15.6""",Full HD 1920x1080,Intel Core i5 7200U 2.5GHz,8GB,256GB SSD,Intel HD Graphics 620,https://via.placeholder.com/200
Acer,Spin 5,2 in 1 Convertible,"13.3""",IPS Panel Full HD / Touchscreen 1920x1080,Intel Core i5 8250U 1.6GHz,8GB,256GB SSD,Intel UHD Graphics 620,https://via.placeholder.com/200
Lenovo,ThinkPad P51s,Workstation,"15.6""",Full HD 1920x1080,Intel Core i7 6500U 2.5GHz,16GB,512GB SSD,Nvidia Quadro M520M,https://via.placeholder.com/200
Lenovo,Thinkpad T460p,Notebook,"14.0""",Full HD 1920x1080,Intel Core i5 6300HQ 2.3GHz,8GB,256GB SSD,Intel HD Graphics 520,https://via.placeholder.com/200
HP,17-ak002nv (A10-9620P/6GB/2TB/Radeon,Notebook,"17.3""",IPS Panel Full HD 1920x1080,AMD A10-Series 9620P 2.5GHz,6GB,2TB HDD,AMD Radeon 530,https://via.placeholder.com/200
Lenovo,Legion Y520-15IKBN,Gaming,"15.6""",IPS Panel Full HD 1920x1080,Intel Core i7 7700HQ 2.8GHz,8GB,128GB SSD +  1TB HDD,Nvidia GeForce GTX 1050 Ti,https://via.placeholder.com/200
Dell,Latitude 5480,Notebook,"14.0""",Full HD 1920x1080,Intel Core i5 7440HQ 2.8GHz,8GB,256GB SSD,Nvidia GeForce 930MX,https://via.placeholder.com/200
Dell,Vostro 5568,Notebook,"15.6""",Full HD 1920x1080,Intel Core i5 7200U 2.5GHz,8GB,1TB HDD,Intel HD Graphics 620,https://via.placeholder.com/200
Asus,VivoBook E403NA,Notebook,"14.0""",Full HD 1920x1080,Intel Celeron Dual Core N3350 1.1GHz,4GB,32GB Flash Storage,Intel HD Graphics 500,https://via.placeholder.com/200
Dell,Latitude 5580,Notebook,"15.6""",Full HD 1920x1080,Intel Core i5 7300U 2.6GHz,16GB,512GB SSD,Intel HD Graphics 620,https://via.placeholder.com/200
Lenovo,Thinkpad E470,Notebook,"14.0""",IPS Panel Full HD 1920x1080,Intel Core i5 7200U 2.5GHz,8GB,256GB SSD,Nvidia GeForce 920MX,https://via.placeholder.com/200
Dell,Latitude 5580,Notebook,"15.6""",Full HD 1920x1080,Intel Core i5 7300U 2.6GHz,8GB,256GB SSD,Intel HD Graphics 620,https://via.placeholder.com/200
Lenovo,110-15ACL (A6-7310/4GB/500GB/W10),Notebook,"15.6""",1366x768,AMD A6-Series 7310 2GHz,4GB,500GB HDD,AMD Radeon R4,https://via.placeholder.com/200
Mediacom,Smartbook 142,Notebook,"14.0""",IPS Panel Full HD 1920x1200,Intel Atom Z8350 1.92GHz,4GB,32GB HDD,Intel HD Graphics 400,https://via.placeholder.com/200
HP,ProBook 470,Notebook,"17.3""",Full HD 1920x1080,Intel Core i7 7500U 2.7GHz,8GB,256GB SSD,Nvidia GeForce 930MX,https://via.placeholder.com/200
Lenovo,ThinkPad X1,Ultrabook,"14.0""",IPS Panel Quad HD+ 2560x1440,Intel Core i7 6500U 2.5GHz,8GB,512GB SSD,Intel HD Graphics 520,https://via.placeholder.com/200
HP,Pavilion X360,2 in 1 Convertible,"13.3""",IPS Panel Touchscreen 1366x768,Intel Core i5 7200U 2.5GHz,8GB,256GB SSD,Intel HD Graphics 620,https://via.placeholder.com/200
Lenovo,ThinkPad T470s,Ultrabook,"14.0""",IPS Panel Full HD 1920x1080,Intel Core i5 7200U 2.5GHz,8GB,256GB SSD,Intel HD Graphics 620,https://via.placeholder.com/200
Dell,Alienware 17,Gaming,"17.3""",4K Ultra HD 3840x2160,Intel Core i7 7700HQ 2.8GHz,32GB,1TB SSD +  1TB HDD,Nvidia GeForce GTX 1070,https://via.placeholder.com/200
MSI,GL72M 7REX,Gaming,"17.3""",Full HD 1920x1080,Intel Core i7 7700HQ 2.8GHz,8GB,128GB SSD +  1TB HDD,Nvidia GeForce GTX 1050 Ti,https://via.placeholder.com/200
Lenovo,V310-15IKB (i5-7200U/4GB/1TB/No,Notebook,"15.6""",1366x768,Intel Core i5 7200U 2.5GHz,4GB,1TB HDD,Intel HD Graphics 620,https://via.placeholder.com/200
Dell,Inspiron 5570,Notebook,"15.6""",Full HD 1920x1080,Intel Core i5 8250U 1.6GHz,8GB,128GB SSD +  1TB HDD,AMD Radeon 530,https://via.placeholder.com/200
Dell,Inspiron 5378,2 in 1 Convertible,"13.3""",Full HD / Touchscreen 1920x1080,Intel Core i3 7100U 2.4GHz,4GB,1TB HDD,Intel HD Graphics 620,https://via.placeholder.com/200
Dell,Inspiron 5567,Notebook,"15.6""",1366x768,Intel Core i5 7200U 2.5GHz,8GB,1TB HDD,AMD Radeon R7 M445,https://via.placeholder.com/200
HP,15-BW037na (A9-9420/4GB/1TB/Radeon,Notebook,"15.6""",Full HD 1920x1080,AMD A9-Series 9420 3GHz,4GB,1TB HDD,AMD Radeon 520,https://via.placeholder.com/200
Acer,Predator 17,Gaming,"17.3""",IPS Panel Full HD 1920x1080,Intel Core i7 6700HQ 2.6GHz,16GB,128GB SSD +  1TB HDD,Nvidia GeForce GTX 1060,https://via.placeholder.com/200
Dell,Inspiron 3567,Notebook,"15.6""",1366x768,Intel Core i5 7200U 2.5GHz,12GB,1TB HDD,Intel HD Graphics 620,https://via.placeholder.com/200
HP,15-BW091ND (A9-9420/6GB/1TB,Notebook,"15.6""",Full HD 1920x1080,AMD A9-Series A9-9420 3GHz,6GB,128GB SSD +  1TB HDD,AMD Radeon 520,https://via.placeholder.com/200
Acer,Extensa EX2540-58KR,Notebook,"15.6""",1366x768,Intel Core i5 7200U 2.5GHz,4GB,500GB HDD,Intel HD Graphics 620,https://via.placeholder.com/200
Lenovo,ThinkPad 13,Notebook,"13.3""",IPS Panel Full HD 1920x1080,Intel Core i5 7200U 2.5GHz,8GB,256GB SSD,Intel HD Graphics 620,https://via.placeholder.com/200
Lenovo,V310-15IKB (i7-7500U/4GB/1TB/FHD/W10),Notebook,"15.6""",Full HD 1920x1080,Intel Core i7 7500U 2.7GHz,4GB,1TB HDD,Intel HD Graphics 620,https://via.placeholder.com/200
HP,ZBook 15,Workstation,"15.6""",Full HD 1920x1080,Intel Core i7 7700HQ 2.8GHz,16GB,256GB SSD,Nvidia Quadro M2200,https://via.placeholder.com/200
Dell,Inspiron 5379,2 in 1 Convertible,"13.3""",Full HD / Touchscreen 1920x1080,Intel Core i5 8250U 1.6GHz,8GB,1TB HDD,Intel UHD Graphics 620,https://via.placeholder.com/200
MSI,GS63VR 7RF,Gaming,"15.6""",Full HD 1920x1080,Intel Core i7 7700HQ 2.8GHz,16GB,256GB SSD +  1TB HDD,Nvidia GeForce GTX 1060,https://via.placeholder.com/200
Acer,Aspire ES1-572,Notebook,"15.6""",1366x768,Intel Core i3 6006U 2GHz,4GB,500GB HDD,Intel HD Graphics 520,https://via.placeholder.com/200
Dell,Inspiron 7560,Notebook,"15.6""",Full HD 1920x1080,Intel Core i7 7500U 2.7GHz,8GB,128GB SSD +  1TB HDD,Nvidia GeForce 940MX,https://via.placeholder.com/200
Dell,Vostro 3568,Notebook,"15.6""",1366x768,Intel Core i3 6006U 2GHz,8GB,256GB SSD,Intel HD Graphics 520,https://via.placeholder.com/200
Toshiba,Tecra X40-D-10G,Notebook,"14.0""",IPS Panel Full HD / Touchscreen 1920x1080,Intel Core i5 7200U 2.5GHz,8GB,256GB SSD,Intel HD Graphics 620,https://via.placeholder.com/200
Lenovo,Flex 5,2 in 1 Convertible,"14.0""",Full HD / Touchscreen 1920x1080,Intel Core i5 7200U 2.5GHz,8GB,256GB SSD,Intel HD Graphics 620,https://via.placeholder.com/200
Lenovo,Thinkpad P51s,Workstation,"15.6""",IPS Panel 4K Ultra HD 3840x2160,Intel Core i7 7600U 2.8GHz,16GB,1TB SSD,Nvidia Quadro M520M,https://via.placeholder.com/200
Acer,Chromebook 14,Notebook,"14.0""",1366x768,Intel Celeron Dual Core N3060 1.6GHz,2GB,32GB Flash Storage,Intel HD Graphics 400,https://via.placeholder.com/200
Samsung,Notebook 9,Ultrabook,"13.3""",Full HD 1920x1080,Intel Core i7 7500U 2.7GHz,16GB,256GB SSD,Intel HD Graphics 620,https://via.placeholder.com/200
HP,250 G6,Notebook,"15.6""",Full HD 1920x1080,Intel Core i3 6006U 2GHz,8GB,256GB SSD,Intel HD Graphics 520,https://via.placeholder.com/200
Dell,Latitude 5480,Notebook,"14.0""",1366x768,Intel Core i5 7200U 2.5GHz,8GB,256GB SSD,Intel HD Graphics 620,https://via.placeholder.com/200
HP,Zbook 17,Workstation,"17.3""",IPS Panel Full HD 1920x1080,Intel Xeon E3-1535M v5 2.9GHz,16GB,256GB SSD,Nvidia Quadro M2000M,https://via.placeholder.com/200
Lenovo,N23 (N3060/4GB/128GB/W10),Netbook,"11.6""",Touchscreen 1366x768,Intel Celeron Dual Core N3060 1.6GHz,4GB,128GB SSD,Intel HD Graphics 400,https://via.placeholder.com/200
HP,EliteBook 850,Notebook,"15.6""",Full HD 1920x1080,Intel Core i5 6300U 2.4GHz,8GB,256GB SSD,Intel HD Graphics 520,https://via.placeholder.com/200
Asus,X550VX-XX015D (i5-6300HQ/4GB/1TB/GeForce,Notebook,"15.6""",1366x768,Intel Core i5 6300HQ 2.3GHz,4GB,1TB HDD,Nvidia GeForce GTX 950M,https://via.placeholder.com/200
Lenovo,Thinkpad T460,Ultrabook,"14.0""",Full HD 1920x1080,Intel Core i5 6200U 2.3GHz,4GB,1GB SSD,Intel HD Graphics 520,https://via.placeholder.com/200
Asus,Pro P2540UA-XO0192R,Notebook,"15.6""",1366x768,Intel Core i7 7500U 2.7GHz,4GB,256GB SSD,Intel HD Graphics 620,https://via.placeholder.com/200
Lenovo,Yoga 900-13ISK,2 in 1 Convertible,"13.3""",IPS Panel Quad HD+ / Touchscreen 3200x1800,Intel Core i5 6260U 1.8GHz,8GB,256GB SSD,Intel HD Graphics 540,https://via.placeholder.com/200
HP,15-cb003na (i5-7300HQ/8GB/1TB,Notebook,"15.6""",IPS Panel Full HD 1920x1080,Intel Core i5 7300HQ 2.5GHz,8GB,128GB SSD +  1TB HDD,Nvidia GeForce GTX 1050,https://via.placeholder.com/200
HP,ZBook 15,Workstation,"15.6""",Full HD 1920x1080,Intel Core i7 6700HQ 2.6GHz,8GB,256GB SSD,Nvidia Quadro M1000M,https://via.placeholder.com/200
Dell,Alienware 17,Gaming,"15.6""",IPS Panel 4K Ultra HD 3840x2160,Intel Core i7 7700HQ 2.8GHz,16GB,256GB SSD +  1TB HDD,Nvidia GeForce GTX 1070,https://via.placeholder.com/200
Acer,Aspire 3,Notebook,"15.6""",1366x768,Intel Core i5 7200U 2.5GHz,4GB,256GB SSD,Intel HD Graphics 620,https://via.placeholder.com/200
Lenovo,Legion Y520-15IKBN,Gaming,"15.6""",IPS Panel Full HD 1920x1080,Intel Core i7 7700HQ 2.8GHz,8GB,128GB SSD +  1TB HDD,Nvidia GeForce GTX 1050,https://via.placeholder.com/200
Dell,Latitude 7280,Ultrabook,"12.5""",Full HD 1920x1080,Intel Core i7 7600U 2.8GHz,16GB,256GB SSD,Intel HD Graphics 620,https://via.placeholder.com/200
Google,Pixelbook (Core,Ultrabook,"12.3""",Touchscreen 2400x1600,Intel Core i5 7Y57 1.2GHz,8GB,256GB SSD,Intel HD Graphics 615,https://via.placeholder.com/200
Asus,Zenbook UX330UA-AH5Q,Ultrabook,"13.3""",IPS Panel Quad HD+ 3200x1800,Intel Core i5 7200U 2.5GHz,8GB,256GB SSD,Intel HD Graphics 620,https://via.placeholder.com/200
Dell,Latitude 3380,Notebook,"13.3""",1366x768,Intel Core i3 6006U 2GHz,4GB,500GB HDD,Intel HD Graphics 520,https://via.placeholder.com/200
Acer,TravelMate P238-M,Notebook,"13.3""",1366x768,Intel Core i5 6200U 2.3GHz,4GB,128GB SSD,Intel HD Graphics 520,https://via.placeholder.com/200
Asus,X751NV-TY001 (N4200/4GB/1TB/GeForce,Notebook,"17.3""",1366x768,Intel Pentium Quad Core N4200 1.1GHz,4GB,1TB HDD,Nvidia GeForce 920MX,https://via.placeholder.com/200
Dell,Inspiron 7559,Gaming,"15.6""",IPS Panel Touchscreen / 4K Ultra HD 3840x2160,Intel Core i7 6700HQ 2.6GHz,16GB,128GB SSD +  1TB HDD,Nvidia GeForce GTX 960M,https://via.placeholder.com/200
Samsung,Notebook 9,Ultrabook,"13.3""",Full HD / Touchscreen 1920x1080,Intel Core i7 7500U 2.7GHz,8GB,256GB SSD,Intel HD Graphics 620,https://via.placeholder.com/200
Acer,Aspire A315-31,Notebook,"15.6""",1366x768,Intel Pentium Quad Core N4200 1.1GHz,4GB,1TB HDD,Intel HD Graphics 505,https://via.placeholder.com/200
Dell,Inspiron 5567,Notebook,"15.6""",Full HD 1920x1080,Intel Core i7 7500U 2.7GHz,16GB,256GB SSD,AMD Radeon R7 M445,https://via.placeholder.com/200
Samsung,Notebook 9,2 in 1 Convertible,"15.0""",Full HD / Touchscreen 1920x1080,Intel Core i7 7500U 2.7GHz,16GB,256GB SSD,AMD Radeon 540,https://via.placeholder.com/200
Toshiba,Tecra A40-C-1E5,Notebook,"14.0""",IPS Panel 1366x768,Intel Core i5 6200U 2.3GHz,4GB,128GB SSD,Intel HD Graphics 520,https://via.placeholder.com/200
Dell,Inspiron 7567,Gaming,"15.6""",Full HD 1920x1080,Intel Core i7 7700HQ 2.8GHz,8GB,1TB HDD,Nvidia GeForce GTX 1050,https://via.placeholder.com/200
HP,EliteBook 820,Ultrabook,"12.5""",1366x768,Intel Core i5 6200U 2.3GHz,4GB,256GB SSD,Intel HD Graphics 520,https://via.placeholder.com/200
Asus,Q524UQ-BHI7T15 (i7-7500U/12GB/2TB/GeForce,2 in 1 Convertible,"15.6""",Full HD / Touchscreen 1920x1080,Intel Core i7 7500U 2.7GHz,12GB,2TB HDD,Nvidia GeForce 940MX,https://via.placeholder.com/200
Lenovo,Thinkpad P50,Notebook,"15.6""",4K Ultra HD 3840x2160,Intel Core i7 6820HQ 2.7GHz,16GB,512GB SSD,Nvidia Quadro M2000M,https://via.placeholder.com/200
Acer,Swift 3,Notebook,"14.0""",IPS Panel Full HD 1920x1080,Intel Core i3 7100U 2.4GHz,4GB,128GB SSD,Intel HD Graphics 620,https://via.placeholder.com/200
Razer,Blade Pro,Gaming,"14.0""",Full HD 1920x1080,Intel Core i7 7700HQ 2.8GHz,16GB,512GB SSD,Nvidia GeForce GTX 1060,https://via.placeholder.com/200
Asus,Vivobook Max,Notebook,"15.6""",1920x1080,Intel Pentium Dual Core N4200 1.1GHz,8GB,128GB SSD,Intel HD Graphics 505,https://via.placeholder.com/200
Dell,Alienware 17,Gaming,"17.3""",IPS Panel Full HD 1920x1080,Intel Core i7 7700HQ 2.8GHz,32GB,1TB SSD +  1TB HDD,Nvidia GeForce GTX 1070M,https://via.placeholder.com/200
Asus,Rog G752VS-BA171T,Gaming,"17.3""",IPS Panel Full HD 1920x1080,Intel Core i7 6700HQ 2.6GHz,16GB,256GB SSD +  1TB HDD,Nvidia GeForce GTX 1070,https://via.placeholder.com/200
Toshiba,Tecra Z40-C-161,Ultrabook,"14.0""",IPS Panel Full HD 1920x1080,Intel Core i7 6600U 2.6GHz,16GB,512GB SSD,Nvidia GeForce 930M,https://via.placeholder.com/200
Lenovo,IdeaPad 110-15IBR,Notebook,"15.6""",1366x768,Intel Celeron Quad Core N3710 1.6GHz,8GB,1TB HDD,Intel HD Graphics 405,https://via.placeholder.com/200
Lenovo,ThinkPad T470s,Ultrabook,"14.0""",Full HD 1920x1080,Intel Core i7 7500U 2.7GHz,16GB,512GB SSD,Intel HD Graphics 620,https://via.placeholder.com/200
MSI,GS43VR 7RE,Gaming,"14.0""",IPS Panel Full HD 1920x1080,Intel Core i7 7700HQ 2.8GHz,16GB,256GB SSD +  1TB HDD,Nvidia GeForce GTX 1060,https://via.placeholder.com/200
